,Load name,Channel,Value (%),Level,Frequency (Hz),Voltage (V)
0,"RGB LED strip, 3 channels, Green wire",1,100.0,65534,991,2.9550630613675244
1,"RGB LED strip, 3 channels, Green wire",1,0.0,0,991,0.1730755218457583
2,"RGB LED strip, 3 channels, Green wire",1,0.25,163,991,0.17312016320810467
3,"RGB LED strip, 3 channels, Green wire",1,0.5,327,991,0.17327000778099827
4,"RGB LED strip, 3 channels, Green wire",1,0.53,347,991,0.17332512946317857
5,"RGB LED strip, 3 channels, Green wire",1,0.56,366,991,0.1728381546018839
6,"RGB LED strip, 3 channels, Green wire",1,0.59,386,991,0.17303336055909843
7,"RGB LED strip, 3 channels, Green wire",1,0.62,406,991,0.17321240602313337
8,"RGB LED strip, 3 channels, Green wire",1,0.65,425,991,0.17278503298074013
9,"RGB LED strip, 3 channels, Green wire",1,0.68,445,991,0.17263630844202865
10,"RGB LED strip, 3 channels, Green wire",1,0.71,465,991,0.17283871461897624
11,"RGB LED strip, 3 channels, Green wire",1,0.74,484,991,0.17268238984832185
12,"RGB LED strip, 3 channels, Green wire",1,0.77,504,991,0.17276191227515494
13,"RGB LED strip, 3 channels, Green wire",1,0.8,524,991,0.17339633163609644
14,"RGB LED strip, 3 channels, Green wire",1,0.83,543,991,0.1728577552000474
15,"RGB LED strip, 3 channels, Green wire",1,0.86,563,991,0.1723097384759043
16,"RGB LED strip, 3 channels, Green wire",1,0.89,583,991,0.17245350286324587
17,"RGB LED strip, 3 channels, Green wire",1,0.92,602,991,0.1725803867354344
18,"RGB LED strip, 3 channels, Green wire",1,0.95,622,991,0.17256070613483113
19,"RGB LED strip, 3 channels, Green wire",1,0.98,642,991,0.17267142951383951
20,"RGB LED strip, 3 channels, Green wire",1,1.01,661,991,0.17262126798303049
21,"RGB LED strip, 3 channels, Green wire",1,1.04,681,991,0.1723782205658119
22,"RGB LED strip, 3 channels, Green wire",1,1.07,701,991,0.17220413525314998
23,"RGB LED strip, 3 channels, Green wire",1,1.1,720,991,0.17227701747733917
24,"RGB LED strip, 3 channels, Green wire",1,1.13,740,991,0.1721628539933473
25,"RGB LED strip, 3 channels, Green wire",1,1.16,760,991,0.17201540949369748
26,"RGB LED strip, 3 channels, Green wire",1,1.19,779,991,0.1720638909732336
27,"RGB LED strip, 3 channels, Green wire",1,1.22,799,991,0.1720898117642739
28,"RGB LED strip, 3 channels, Green wire",1,1.25,819,991,0.1721770144254884
29,"RGB LED strip, 3 channels, Green wire",1,1.28,838,991,0.1720981320181869
30,"RGB LED strip, 3 channels, Green wire",1,1.31,858,991,0.17187628524796073
31,"RGB LED strip, 3 channels, Green wire",1,1.34,878,991,0.1721997351188689
32,"RGB LED strip, 3 channels, Green wire",1,1.37,897,991,0.1719495674843579
33,"RGB LED strip, 3 channels, Green wire",1,1.4,917,991,0.17214517345377867
34,"RGB LED strip, 3 channels, Green wire",1,1.43,937,991,0.1716510783751938
35,"RGB LED strip, 3 channels, Green wire",1,1.46,956,991,0.17133650877529177
36,"RGB LED strip, 3 channels, Green wire",1,1.49,976,991,0.17037871954588424
37,"RGB LED strip, 3 channels, Green wire",1,1.52,996,991,0.17198820866359515
38,"RGB LED strip, 3 channels, Green wire",1,1.55,1015,991,0.17152003437604743
39,"RGB LED strip, 3 channels, Green wire",1,1.58,1035,991,0.17200484917142073
40,"RGB LED strip, 3 channels, Green wire",1,1.61,1055,991,0.17145939252540718
41,"RGB LED strip, 3 channels, Green wire",1,1.64,1074,991,0.17194692740378906
42,"RGB LED strip, 3 channels, Green wire",1,1.67,1094,991,0.17173828103640787
43,"RGB LED strip, 3 channels, Green wire",1,1.7,1114,991,0.1709444168095944
44,"RGB LED strip, 3 channels, Green wire",1,1.73,1133,991,0.17185820469618776
45,"RGB LED strip, 3 channels, Green wire",1,1.76,1153,991,0.1715642757261881
46,"RGB LED strip, 3 channels, Green wire",1,1.79,1173,991,0.1711389827472767
47,"RGB LED strip, 3 channels, Green wire",1,1.82,1192,991,0.17147443298440507
48,"RGB LED strip, 3 channels, Green wire",1,1.85,1212,991,0.17217941449873325
49,"RGB LED strip, 3 channels, Green wire",1,1.88,1232,991,0.17134538904629634
50,"RGB LED strip, 3 channels, Green wire",1,1.91,1251,991,0.1711091418366039
51,"RGB LED strip, 3 channels, Green wire",1,1.94,1271,991,0.17111146190740578
52,"RGB LED strip, 3 channels, Green wire",1,1.97,1291,991,0.1710345795611429
53,"RGB LED strip, 3 channels, Green wire",1,2.0,1310,991,0.17107674084780425
54,"RGB LED strip, 3 channels, Green wire",1,2.03,1330,991,0.17191188633442048
55,"RGB LED strip, 3 channels, Green wire",1,2.06,1350,991,0.17241958182805717
56,"RGB LED strip, 3 channels, Green wire",1,2.09,1369,991,0.172281817623828
57,"RGB LED strip, 3 channels, Green wire",1,2.12,1389,991,0.17227389738212137
58,"RGB LED strip, 3 channels, Green wire",1,2.15,1408,991,0.17227165731375912
59,"RGB LED strip, 3 channels, Green wire",1,2.18,1428,991,0.17232621897885034
60,"RGB LED strip, 3 channels, Green wire",1,2.21,1448,991,0.17228813781670527
61,"RGB LED strip, 3 channels, Green wire",1,2.24,1467,991,0.172338539354839
62,"RGB LED strip, 3 channels, Green wire",1,2.27,1487,991,0.17217949450117506
63,"RGB LED strip, 3 channels, Green wire",1,2.3,1507,991,0.17297439875972687
64,"RGB LED strip, 3 channels, Green wire",1,2.33,1526,991,0.17230469832209025
65,"RGB LED strip, 3 channels, Green wire",1,2.36,1546,991,0.17296407844477565
66,"RGB LED strip, 3 channels, Green wire",1,2.39,1566,991,0.1731339236280397
67,"RGB LED strip, 3 channels, Green wire",1,2.42,1585,991,0.17316016442884552
68,"RGB LED strip, 3 channels, Green wire",1,2.45,1605,991,0.17443148322641625
69,"RGB LED strip, 3 channels, Green wire",1,2.48,1625,991,0.1748396556828509
70,"RGB LED strip, 3 channels, Green wire",1,2.51,1644,991,0.1768557972106082
71,"RGB LED strip, 3 channels, Green wire",1,2.54,1664,991,0.1792599505795466
72,"RGB LED strip, 3 channels, Green wire",1,2.57,1684,991,0.18158770161686977
73,"RGB LED strip, 3 channels, Green wire",1,2.6,1703,991,0.1840790576470241
74,"RGB LED strip, 3 channels, Green wire",1,2.63,1723,991,0.18782405193517818
75,"RGB LED strip, 3 channels, Green wire",1,2.66,1743,991,0.19662864062990162
76,"RGB LED strip, 3 channels, Green wire",1,2.69,1762,991,0.20188064090823124
77,"RGB LED strip, 3 channels, Green wire",1,2.72,1782,991,0.20826531575304325
78,"RGB LED strip, 3 channels, Green wire",1,2.75,1802,991,0.21374556299692019
79,"RGB LED strip, 3 channels, Green wire",1,2.78,1821,991,0.22045480774682022
80,"RGB LED strip, 3 channels, Green wire",1,2.81,1841,991,0.23199539993774265
81,"RGB LED strip, 3 channels, Green wire",1,2.84,1861,991,0.23640361446577307
82,"RGB LED strip, 3 channels, Green wire",1,2.87,1880,991,0.24092287238257962
83,"RGB LED strip, 3 channels, Green wire",1,2.9,1900,991,0.24620167347880378
84,"RGB LED strip, 3 channels, Green wire",1,2.93,1920,991,0.25455872851588673
85,"RGB LED strip, 3 channels, Green wire",1,2.96,1939,991,0.26017657995910654
86,"RGB LED strip, 3 channels, Green wire",1,2.99,1959,991,0.2645359129953905
87,"RGB LED strip, 3 channels, Green wire",1,3.0,1966,991,0.2647525596069216
88,"RGB LED strip, 3 channels, Green wire",1,3.05,1998,991,0.27479758615680616
89,"RGB LED strip, 3 channels, Green wire",1,3.1,2031,991,0.29478243604602133
90,"RGB LED strip, 3 channels, Green wire",1,3.15,2064,991,0.3083886912759779
91,"RGB LED strip, 3 channels, Green wire",1,3.2,2097,991,0.32224767421857176
92,"RGB LED strip, 3 channels, Green wire",1,3.25,2129,991,0.33992941382244307
93,"RGB LED strip, 3 channels, Green wire",1,3.3,2162,991,0.35447945785454954
94,"RGB LED strip, 3 channels, Green wire",1,3.35,2195,991,0.37243808590838656
95,"RGB LED strip, 3 channels, Green wire",1,3.4,2228,991,0.38897531058443247
96,"RGB LED strip, 3 channels, Green wire",1,3.45,2260,991,0.40530468891750876
97,"RGB LED strip, 3 channels, Green wire",1,3.5,2293,991,0.4211497324698622
98,"RGB LED strip, 3 channels, Green wire",1,3.55,2326,991,0.4339154020471832
99,"RGB LED strip, 3 channels, Green wire",1,3.6,2359,991,0.4476094199554423
100,"RGB LED strip, 3 channels, Green wire",1,3.65,2391,991,0.46011364155400575
101,"RGB LED strip, 3 channels, Green wire",1,3.7,2424,991,0.47106861587328486
102,"RGB LED strip, 3 channels, Green wire",1,3.75,2457,991,0.48430573983825403
103,"RGB LED strip, 3 channels, Green wire",1,3.8,2490,991,0.4934242581133427
104,"RGB LED strip, 3 channels, Green wire",1,3.85,2523,991,0.5067033833600878
105,"RGB LED strip, 3 channels, Green wire",1,3.9,2555,991,0.5170913003741588
106,"RGB LED strip, 3 channels, Green wire",1,3.95,2588,991,0.5313245347380019
107,"RGB LED strip, 3 channels, Green wire",1,4.0,2621,991,0.5437801948545802
108,"RGB LED strip, 3 channels, Green wire",1,4.05,2654,991,0.5536971374956516
109,"RGB LED strip, 3 channels, Green wire",1,4.1,2686,991,0.5701862807043666
110,"RGB LED strip, 3 channels, Green wire",1,4.15,2719,991,0.5848304876100962
111,"RGB LED strip, 3 channels, Green wire",1,4.2,2752,991,0.5985951476741835
112,"RGB LED strip, 3 channels, Green wire",1,4.25,2785,991,0.6125411732731103
113,"RGB LED strip, 3 channels, Green wire",1,4.3,2817,991,0.6315332728660019
114,"RGB LED strip, 3 channels, Green wire",1,4.35,2850,991,0.6427577754106311
115,"RGB LED strip, 3 channels, Green wire",1,4.4,2883,991,0.656687000496848
116,"RGB LED strip, 3 channels, Green wire",1,4.45,2916,991,0.6717591404620532
117,"RGB LED strip, 3 channels, Green wire",1,4.5,2949,991,0.6867449577929077
118,"RGB LED strip, 3 channels, Green wire",1,4.55,2981,991,0.7037748375035842
119,"RGB LED strip, 3 channels, Green wire",1,4.6,3014,991,0.7173575720157479
120,"RGB LED strip, 3 channels, Green wire",1,4.65,3047,991,0.7349102676815152
121,"RGB LED strip, 3 channels, Green wire",1,4.7,3080,991,0.7516922998284882
122,"RGB LED strip, 3 channels, Green wire",1,4.75,3112,991,0.7679634363841725
123,"RGB LED strip, 3 channels, Green wire",1,4.8,3145,991,0.7798473190514863
124,"RGB LED strip, 3 channels, Green wire",1,4.85,3178,991,0.7943012801513799
125,"RGB LED strip, 3 channels, Green wire",1,4.9,3211,991,0.8232805645289472
126,"RGB LED strip, 3 channels, Green wire",1,4.95,3243,991,0.8326715711197227
127,"RGB LED strip, 3 channels, Green wire",1,5.0,3276,991,0.8505021152647493
128,"RGB LED strip, 3 channels, Green wire",1,5.05,3309,991,0.8662042744566173
129,"RGB LED strip, 3 channels, Green wire",1,5.1,3342,991,0.8861312025782003
130,"RGB LED strip, 3 channels, Green wire",1,5.15,3375,991,0.9106227500009211
131,"RGB LED strip, 3 channels, Green wire",1,5.2,3407,991,0.935907361626025
132,"RGB LED strip, 3 channels, Green wire",1,5.25,3440,991,0.9433307881710263
133,"RGB LED strip, 3 channels, Green wire",1,5.3,3473,991,0.964997689392376
134,"RGB LED strip, 3 channels, Green wire",1,5.35,3506,991,0.9719197406366158
135,"RGB LED strip, 3 channels, Green wire",1,5.4,3538,991,0.9878405465010549
136,"RGB LED strip, 3 channels, Green wire",1,5.45,3571,991,1.0071820167558825
137,"RGB LED strip, 3 channels, Green wire",1,5.5,3604,991,1.0218310238080932
138,"RGB LED strip, 3 channels, Green wire",1,5.55,3637,991,1.0377688701925725
139,"RGB LED strip, 3 channels, Green wire",1,5.6,3669,991,1.0542096919266342
140,"RGB LED strip, 3 channels, Green wire",1,5.65,3702,991,1.0670180028052603
141,"RGB LED strip, 3 channels, Green wire",1,5.7,3735,991,1.085255999384747
142,"RGB LED strip, 3 channels, Green wire",1,5.75,3768,991,1.0960104875856784
143,"RGB LED strip, 3 channels, Green wire",1,5.8,3800,991,1.1135043814569594
144,"RGB LED strip, 3 channels, Green wire",1,5.85,3833,991,1.1259167602526876
145,"RGB LED strip, 3 channels, Green wire",1,5.9,3866,991,1.1369915782293125
146,"RGB LED strip, 3 channels, Green wire",1,5.95,3899,991,1.1462186598175015
147,"RGB LED strip, 3 channels, Green wire",1,6.0,3932,991,1.1620483429010884
148,"RGB LED strip, 3 channels, Green wire",1,6.1,3997,991,1.1833067516562366
149,"RGB LED strip, 3 channels, Green wire",1,6.2,4063,991,1.215964148280894
150,"RGB LED strip, 3 channels, Green wire",1,6.3,4128,991,1.2340423799847413
151,"RGB LED strip, 3 channels, Green wire",1,6.4,4194,991,1.2569969205017302
152,"RGB LED strip, 3 channels, Green wire",1,6.5,4259,991,1.2783359717178846
153,"RGB LED strip, 3 channels, Green wire",1,6.6,4325,991,1.301679164095583
154,"RGB LED strip, 3 channels, Green wire",1,6.7,4390,991,1.317662931881468
155,"RGB LED strip, 3 channels, Green wire",1,6.8,4456,991,1.3322137759379917
156,"RGB LED strip, 3 channels, Green wire",1,6.9,4521,991,1.3597569364885465
157,"RGB LED strip, 3 channels, Green wire",1,7.0,4587,991,1.3829794051820297
158,"RGB LED strip, 3 channels, Green wire",1,7.1,4652,991,1.3934813256752296
159,"RGB LED strip, 3 channels, Green wire",1,7.2,4718,991,1.415085184972692
160,"RGB LED strip, 3 channels, Green wire",1,7.3,4783,991,1.4381423686220753
161,"RGB LED strip, 3 channels, Green wire",1,7.4,4849,991,1.457946172986233
162,"RGB LED strip, 3 channels, Green wire",1,7.5,4915,991,1.473359363359458
163,"RGB LED strip, 3 channels, Green wire",1,7.6,4980,991,1.4967649576415099
164,"RGB LED strip, 3 channels, Green wire",1,7.7,5046,991,1.512000782602003
165,"RGB LED strip, 3 channels, Green wire",1,7.8,5111,991,1.5342837026227392
166,"RGB LED strip, 3 channels, Green wire",1,7.9,5177,991,1.5454075620959693
167,"RGB LED strip, 3 channels, Green wire",1,8.0,5242,991,1.5642710977653953
168,"RGB LED strip, 3 channels, Green wire",1,8.1,5308,991,1.5821349229260924
169,"RGB LED strip, 3 channels, Green wire",1,8.2,5373,991,1.5991884033570092
170,"RGB LED strip, 3 channels, Green wire",1,8.3,5439,991,1.6153468164726348
171,"RGB LED strip, 3 channels, Green wire",1,8.4,5504,991,1.6329412734128357
172,"RGB LED strip, 3 channels, Green wire",1,8.5,5570,991,1.6495855413555767
173,"RGB LED strip, 3 channels, Green wire",1,8.6,5635,991,1.6693863056269853
174,"RGB LED strip, 3 channels, Green wire",1,8.7,5701,991,1.685620081042489
175,"RGB LED strip, 3 channels, Green wire",1,8.8,5766,991,1.6964326510159173
176,"RGB LED strip, 3 channels, Green wire",1,8.9,5832,991,1.7106106036927053
177,"RGB LED strip, 3 channels, Green wire",1,9.0,5898,991,1.7243900642084549
178,"RGB LED strip, 3 channels, Green wire",1,9.1,5963,991,1.7434760066651618
179,"RGB LED strip, 3 channels, Green wire",1,9.2,6029,991,1.7554614124307226
180,"RGB LED strip, 3 channels, Green wire",1,9.3,6094,991,1.7716270257661153
181,"RGB LED strip, 3 channels, Green wire",1,9.4,6160,991,1.7872558227191353
182,"RGB LED strip, 3 channels, Green wire",1,9.5,6225,991,1.798766013982297
183,"RGB LED strip, 3 channels, Green wire",1,9.6,6291,991,1.82179391673815
184,"RGB LED strip, 3 channels, Green wire",1,9.7,6356,991,1.8312686058826773
185,"RGB LED strip, 3 channels, Green wire",1,9.8,6422,991,1.8417841267909167
186,"RGB LED strip, 3 channels, Green wire",1,9.9,6487,991,1.8587607248755784
187,"RGB LED strip, 3 channels, Green wire",1,10.0,6553,991,1.870956617064651
188,"RGB LED strip, 3 channels, Green wire",1,10.1,6618,991,1.8859389142880836
189,"RGB LED strip, 3 channels, Green wire",1,10.2,6684,991,1.8993102023474169
190,"RGB LED strip, 3 channels, Green wire",1,10.3,6750,991,1.9184836674751198
191,"RGB LED strip, 3 channels, Green wire",1,10.4,6815,991,1.928317887591706
192,"RGB LED strip, 3 channels, Green wire",1,10.5,6881,991,1.9363252519570846
193,"RGB LED strip, 3 channels, Green wire",1,10.6,6946,991,1.9565381088045373
194,"RGB LED strip, 3 channels, Green wire",1,10.7,7012,991,1.9701977256629502
195,"RGB LED strip, 3 channels, Green wire",1,10.8,7077,991,1.9760819852363103
196,"RGB LED strip, 3 channels, Green wire",1,10.9,7143,991,1.9944494257661054
197,"RGB LED strip, 3 channels, Green wire",1,11.0,7208,991,2.008400971533496
198,"RGB LED strip, 3 channels, Green wire",1,11.1,7274,991,2.0212767244702925
199,"RGB LED strip, 3 channels, Green wire",1,11.2,7339,991,2.035117226848893
200,"RGB LED strip, 3 channels, Green wire",1,11.3,7405,991,2.0386578949015295
201,"RGB LED strip, 3 channels, Green wire",1,11.4,7470,991,2.053947881514901
202,"RGB LED strip, 3 channels, Green wire",1,11.5,7536,991,2.0677527828070317
203,"RGB LED strip, 3 channels, Green wire",1,11.6,7601,991,2.0799196341098627
204,"RGB LED strip, 3 channels, Green wire",1,11.7,7667,991,2.0939597425799645
205,"RGB LED strip, 3 channels, Green wire",1,11.8,7733,991,2.1054384128811683
206,"RGB LED strip, 3 channels, Green wire",1,11.9,7798,991,2.117620144638146
207,"RGB LED strip, 3 channels, Green wire",1,12.0,7864,991,2.1230573505684833
208,"RGB LED strip, 3 channels, Green wire",1,12.2,7995,991,2.157381918071162
209,"RGB LED strip, 3 channels, Green wire",1,12.4,8126,991,2.180070130460464
210,"RGB LED strip, 3 channels, Green wire",1,12.6,8257,991,2.1966780772947923
211,"RGB LED strip, 3 channels, Green wire",1,12.8,8388,991,2.21872547012782
212,"RGB LED strip, 3 channels, Green wire",1,13.0,8519,991,2.240875106081042
213,"RGB LED strip, 3 channels, Green wire",1,13.2,8650,991,2.2655648995537505
214,"RGB LED strip, 3 channels, Green wire",1,13.4,8781,991,2.283776255320226
215,"RGB LED strip, 3 channels, Green wire",1,13.6,8912,991,2.3069243217431397
216,"RGB LED strip, 3 channels, Green wire",1,13.8,9043,991,2.330354236767403
217,"RGB LED strip, 3 channels, Green wire",1,14.0,9174,991,2.3481855009344113
218,"RGB LED strip, 3 channels, Green wire",1,14.2,9305,991,2.3657954783482746
219,"RGB LED strip, 3 channels, Green wire",1,14.4,9436,991,2.38578864849139
220,"RGB LED strip, 3 channels, Green wire",1,14.6,9567,991,2.410046748789885
221,"RGB LED strip, 3 channels, Green wire",1,14.8,9699,991,2.4303472883131922
222,"RGB LED strip, 3 channels, Green wire",1,15.0,9830,991,2.446242413393886
223,"RGB LED strip, 3 channels, Green wire",1,15.2,9961,991,2.466550793156459
224,"RGB LED strip, 3 channels, Green wire",1,15.4,10092,991,2.4874182299801024
225,"RGB LED strip, 3 channels, Green wire",1,15.6,10223,991,2.5095137842829005
226,"RGB LED strip, 3 channels, Green wire",1,15.8,10354,991,2.523367487064405
227,"RGB LED strip, 3 channels, Green wire",1,16.0,10485,991,2.541280193716822
228,"RGB LED strip, 3 channels, Green wire",1,16.2,10616,991,2.5564471365752204
229,"RGB LED strip, 3 channels, Green wire",1,16.4,10747,991,2.5787065358781565
230,"RGB LED strip, 3 channels, Green wire",1,16.6,10878,991,2.593240739426836
231,"RGB LED strip, 3 channels, Green wire",1,16.8,11009,991,2.609691401461241
232,"RGB LED strip, 3 channels, Green wire",1,17.0,11140,991,2.6237151094308215
233,"RGB LED strip, 3 channels, Green wire",1,17.2,11271,991,2.638600523697609
234,"RGB LED strip, 3 channels, Green wire",1,17.4,11402,991,2.6579918354734535
235,"RGB LED strip, 3 channels, Green wire",1,17.6,11533,991,2.6706815827338724
236,"RGB LED strip, 3 channels, Green wire",1,17.8,11665,991,2.6859986901748747
237,"RGB LED strip, 3 channels, Green wire",1,18.0,11796,991,2.695654584849403
238,"RGB LED strip, 3 channels, Green wire",1,18.2,11927,991,2.708949710584402
239,"RGB LED strip, 3 channels, Green wire",1,18.4,12058,991,2.720057569569353
240,"RGB LED strip, 3 channels, Green wire",1,18.6,12189,991,2.7325370704135206
241,"RGB LED strip, 3 channels, Green wire",1,18.8,12320,991,2.7416690290987846
242,"RGB LED strip, 3 channels, Green wire",1,19.0,12451,991,2.7505143390362146
243,"RGB LED strip, 3 channels, Green wire",1,19.2,12582,991,2.7590243587414247
244,"RGB LED strip, 3 channels, Green wire",1,19.4,12713,991,2.764242998001669
245,"RGB LED strip, 3 channels, Green wire",1,19.6,12844,991,2.7706636739451147
246,"RGB LED strip, 3 channels, Green wire",1,19.8,12975,991,2.7753174159661005
247,"RGB LED strip, 3 channels, Green wire",1,20.0,13106,991,2.7783831895260764
248,"RGB LED strip, 3 channels, Green wire",1,20.2,13237,991,2.7815883273391315
249,"RGB LED strip, 3 channels, Green wire",1,20.4,13368,991,2.7851118748692825
250,"RGB LED strip, 3 channels, Green wire",1,20.6,13500,991,2.789935062061256
251,"RGB LED strip, 3 channels, Green wire",1,20.8,13631,991,2.7939982260591494
252,"RGB LED strip, 3 channels, Green wire",1,21.0,13762,991,2.7973464882400436
253,"RGB LED strip, 3 channels, Green wire",1,21.2,13893,991,2.800774672859905
254,"RGB LED strip, 3 channels, Green wire",1,21.4,14024,991,2.802513205915735
255,"RGB LED strip, 3 channels, Green wire",1,21.6,14155,991,2.806136356485499
256,"RGB LED strip, 3 channels, Green wire",1,21.8,14286,991,2.807974572583394
257,"RGB LED strip, 3 channels, Green wire",1,22.0,14417,991,2.8114179576671745
258,"RGB LED strip, 3 channels, Green wire",1,22.2,14548,991,2.8133613769756503
259,"RGB LED strip, 3 channels, Green wire",1,22.4,14679,991,2.8161106608771265
260,"RGB LED strip, 3 channels, Green wire",1,22.6,14810,991,2.8215829878792724
261,"RGB LED strip, 3 channels, Green wire",1,22.8,14941,991,2.8201817451167654
262,"RGB LED strip, 3 channels, Green wire",1,23.0,15072,991,2.8270546748619383
263,"RGB LED strip, 3 channels, Green wire",1,23.2,15203,991,2.8265462593463138
264,"RGB LED strip, 3 channels, Green wire",1,23.4,15334,991,2.829144418635881
265,"RGB LED strip, 3 channels, Green wire",1,23.6,15466,991,2.8322241926231078
266,"RGB LED strip, 3 channels, Green wire",1,23.8,15597,991,2.835400689562103
267,"RGB LED strip, 3 channels, Green wire",1,24.0,15728,991,2.8365258438990826
268,"RGB LED strip, 3 channels, Green wire",1,24.5,16055,991,2.8453638736143567
269,"RGB LED strip, 3 channels, Green wire",1,25.0,16383,991,2.8484058064467845
270,"RGB LED strip, 3 channels, Green wire",1,25.5,16711,991,2.8572248755834
271,"RGB LED strip, 3 channels, Green wire",1,26.0,17038,991,2.8600922430885407
272,"RGB LED strip, 3 channels, Green wire",1,26.5,17366,991,2.8671708591107308
273,"RGB LED strip, 3 channels, Green wire",1,27.0,17694,991,2.871289624805492
274,"RGB LED strip, 3 channels, Green wire",1,27.5,18021,991,2.8758815249391723
275,"RGB LED strip, 3 channels, Green wire",1,28.0,18349,991,2.882277320123345
276,"RGB LED strip, 3 channels, Green wire",1,28.5,18677,991,2.885044044557074
277,"RGB LED strip, 3 channels, Green wire",1,29.0,19004,991,2.8901274796912166
278,"RGB LED strip, 3 channels, Green wire",1,29.5,19332,991,2.8950049885409874
279,"RGB LED strip, 3 channels, Green wire",1,30.0,19660,991,2.8976053078964132
280,"RGB LED strip, 3 channels, Green wire",1,30.5,19987,991,2.902462576128476
281,"RGB LED strip, 3 channels, Green wire",1,31.0,20315,991,2.9048702496048353
282,"RGB LED strip, 3 channels, Green wire",1,31.5,20643,991,2.909223982470227
283,"RGB LED strip, 3 channels, Green wire",1,32.0,20970,991,2.9122703154369374
284,"RGB LED strip, 3 channels, Green wire",1,32.5,21298,991,2.9155370551299304
285,"RGB LED strip, 3 channels, Green wire",1,33.0,21626,991,2.9182843389703805
286,"RGB LED strip, 3 channels, Green wire",1,33.5,21953,991,2.9211109052303423
287,"RGB LED strip, 3 channels, Green wire",1,34.0,22281,991,2.923574100401093
288,"RGB LED strip, 3 channels, Green wire",1,34.5,22609,991,2.9265277905405696
289,"RGB LED strip, 3 channels, Green wire",1,35.0,22936,991,2.928432568669769
290,"RGB LED strip, 3 channels, Green wire",1,35.5,23264,991,2.930497431684396
291,"RGB LED strip, 3 channels, Green wire",1,36.0,23592,991,2.9326074160760047
292,"RGB LED strip, 3 channels, Green wire",1,36.5,23919,991,2.9342615465560544
293,"RGB LED strip, 3 channels, Green wire",1,37.0,24247,991,2.9366984209235723
294,"RGB LED strip, 3 channels, Green wire",1,37.5,24575,991,2.938353111420733
295,"RGB LED strip, 3 channels, Green wire",1,38.0,24902,991,2.9397131529258993
296,"RGB LED strip, 3 channels, Green wire",1,38.5,25230,991,2.940821586752591
297,"RGB LED strip, 3 channels, Green wire",1,39.0,25558,991,2.9421081860165024
298,"RGB LED strip, 3 channels, Green wire",1,39.5,25885,991,2.9428918099308166
299,"RGB LED strip, 3 channels, Green wire",1,40.0,26213,991,2.9442256906376314
300,"RGB LED strip, 3 channels, Green wire",1,40.5,26541,991,2.9446913048470438
301,"RGB LED strip, 3 channels, Green wire",1,41.0,26868,991,2.945570851688699
302,"RGB LED strip, 3 channels, Green wire",1,41.5,27196,991,2.945584132093982
303,"RGB LED strip, 3 channels, Green wire",1,42.0,27524,991,2.946070066923547
304,"RGB LED strip, 3 channels, Green wire",1,42.5,27851,991,2.9467325671414653
305,"RGB LED strip, 3 channels, Green wire",1,43.0,28179,991,2.9472255421858695
306,"RGB LED strip, 3 channels, Green wire",1,43.5,28507,991,2.947318665027766
307,"RGB LED strip, 3 channels, Green wire",1,44.0,28834,991,2.9475218712291205
308,"RGB LED strip, 3 channels, Green wire",1,44.5,29162,991,2.9476409148620486
309,"RGB LED strip, 3 channels, Green wire",1,45.0,29490,991,2.947403947630362
310,"RGB LED strip, 3 channels, Green wire",1,45.5,29817,991,2.947671235787355
311,"RGB LED strip, 3 channels, Green wire",1,46.0,30145,991,2.947836520831438
312,"RGB LED strip, 3 channels, Green wire",1,46.5,30473,991,2.9480736480679823
313,"RGB LED strip, 3 channels, Green wire",1,47.0,30800,991,2.9482838144817523
314,"RGB LED strip, 3 channels, Green wire",1,47.5,31128,991,2.947222102080846
315,"RGB LED strip, 3 channels, Green wire",1,48.0,31456,991,2.9480846084024703
316,"RGB LED strip, 3 channels, Green wire",1,49.0,32111,991,2.9485044612153475
317,"RGB LED strip, 3 channels, Green wire",1,50.0,32767,991,2.9482267727409703
318,"RGB LED strip, 3 channels, Green wire",1,51.0,33422,991,2.9484380591889208
319,"RGB LED strip, 3 channels, Green wire",1,52.0,34077,991,2.9481581306461973
320,"RGB LED strip, 3 channels, Green wire",1,53.0,34733,991,2.9485225417671233
321,"RGB LED strip, 3 channels, Green wire",1,54.0,35388,991,2.9487999902341717
322,"RGB LED strip, 3 channels, Green wire",1,55.0,36043,991,2.9471995413923535
323,"RGB LED strip, 3 channels, Green wire",1,56.0,36699,991,2.9483554166668338
324,"RGB LED strip, 3 channels, Green wire",1,57.0,37354,991,2.9478288405970594
325,"RGB LED strip, 3 channels, Green wire",1,58.0,38009,991,2.948032206803284
